PAA Title,Parent,Text,URL,URL Title
Was zählt alles zu Intimität?,Intimität und Vertrauen,"   Beim Stichwort Intimität denken viele zuerst an körperliche Nähe, an die sexuelle Ebene. Sex wird ja auch gerne mit „intim sein“ umschrieben. Intimität zwischen Menschen gibt es aber auf mehreren Ebenen, nicht nur auf der körperlichen. Um sich wirklich nahe zu sein, ist auch eine emotionale und mentale Intimität nötig.","https://www.ritex.de/intimitaet#:~:text=Beim%20Stichwort%20Intimit%C3%A4t%20denken%20viele,emotionale%20und%20mentale%20Intimit%C3%A4t%20n%C3%B6tig.",Intimität - wichtig für die Beziehung - Ritex
Wie baut man Intimität auf?,Intimität und Vertrauen,"Vertrauen und Intimität entstehen dann, wenn wir den Mut aufbringen, uns einander mitzuteilen und unsere Bedürfnisse und Träume, unsere Gefühle und Gedanken zu offenbaren. Womöglich werden wir überrascht sein, wie gut sich unser Gegenüber in unsere Situation einfühlen kann, wie empathisch unser*e Partner*in reagiert. 27 Jul 2021","https://www.liebezweipunktnull.de/blog/intimitaet-in-der-beziehung-aufbauen#:~:text=Vertrauen%20und%20Intimit%C3%A4t%20entstehen%20dann,*e%20Partner*in%20reagiert.",Intimität in der Beziehung aufbauen - Liebe Zwei Punkt Null
Wie man in der Liebe tiefe Intimität schafft?,Intimität und Vertrauen,"Oft hilft es, in langsamen Schritten mit viel Geduld auf diese Person zuzugehen. Vermitteln Sie das Gefühl von Sicherheit, Akzeptanz und Vertrauen! Der Partner sollte das Gefühl bekommen, dass er sich in dieser Beziehung nicht verbiegen muss, um geliebt zu werden. 5 May 2016","https://www.petra.de/sex/intimitaet-schluessel-zum-glueck-1640.html#:~:text=Oft%20hilft%20es%2C%20in%20langsamen,muss%2C%20um%20geliebt%20zu%20werden.",Intimität - Schlüssel zum Glück - Petra.de
Warum ist Intimität wichtig?,Intimität und Vertrauen,"Sich körperlich nah zu sein suggeriert nicht nur physische, sondern auch emotionale und psychische Nähe. Miteinander intim umzugehen zeugt von Vertrautheit und Zugehörigkeit; daher kann Intimität solche Gefühle auch stiften oder verstärken – macht schlichtweg glücklich. 15 Oct 2021","https://www.parship.at/ratgeber/beziehung/wie-viel-intimitat-braucht-eine-beziehung/#:~:text=Sich%20k%C3%B6rperlich%20nah%20zu%20sein,oder%20verst%C3%A4rken%20%E2%80%93%20macht%20schlichtweg%20gl%C3%BCcklich.",Intimität: Wie wichtig ist Sex in der Beziehung? - Parship
Was gehört alles zur Intimsphäre?,Was zählt alles zu Intimität?,"Lexikon der Psychologie Intimsphäre    In den meisten Gesellschaften gehört Sexualität zum Intimbereich (den es nicht zu beobachten gilt). 2) Im weiteren Sinne zählen dazu aber auch das Auto, die Wohnung, das Bett – jeweils eine nicht zu verletzende ""zweite Haut"" des Menschen, sowie die räumliche Entfernung zum anderen.","https://www.spektrum.de/lexikon/psychologie/intimsphaere/7410#:~:text=Lexikon%20der%20Psychologie%20Intimsph%C3%A4re&text=In%20den%20meisten%20Gesellschaften%20geh%C3%B6rt,die%20r%C3%A4umliche%20Entfernung%20zum%20anderen.",Intimsphäre - Lexikon der Psychologie - Spektrum der Wissenschaft
Was ist geistige Intimität?,Was zählt alles zu Intimität?,"   Auch auf intellektueller Ebene gibt es Intimität. Intellektuelle Intimität verweist darauf, dass uns die Meinung unseres Partners interessiert, wir die Welt auf die gleiche Weise wahrnehmen und vielleicht eine eigene Sprache miteinander entwickeln.","https://www.bettina-fromm.de/beziehung-und-intimitaet-viel-mehr-als-sie-glauben/#:~:text=Auch%20auf%20intellektueller%20Ebene%20gibt,eine%20eigene%20Sprache%20miteinander%20entwickeln.","Beziehung und Intimität – viel mehr, als Sie glauben! - Dr. Bettina Fromm"
Was macht Intimität aus?,Wie baut man Intimität auf?,"Intimität, Gefühlsnähe, die Fähigkeit zu intensiven zwischenmenschlichen Beziehungen, Merkmal von familialer Erziehung, Freundschaft und Cliquen. Kontaktschwierigkeiten wurzeln oft in der Unfähigkeit, Intimität zu ertragen.","https://www.spektrum.de/lexikon/psychologie/intimitaet/7408#:~:text=Intimit%C3%A4t%2C%20Gef%C3%BChlsn%C3%A4he%2C%20die%20F%C3%A4higkeit%20zu,der%20Unf%C3%A4higkeit%2C%20Intimit%C3%A4t%20zu%20ertragen.",Lexikon der Psychologie - : - Intimität - Spektrum der Wissenschaft
Wie unterdrückt man sexuelles Verlangen?,Wie baut man Intimität auf?,Den Sexualtrieb mit Medikamenten ausschalten     Zum Einsatz kommen Gestagene oder Antiandrogene. Teilweise werden auch Gonadotrophin-Releasing-Hormon-Analoga verwendet. Daneben kann der Sexualtrieb auch durch verschiedene Mechanismen gesenkt werden. Zum Einsatz kommen hier Neuroleptika und Antidepressiva. 16 Sept 2022,"https://praxistipps.focus.de/sexualtrieb-ausschalten-diese-tipps-helfen_150605#:~:text=Den%20Sexualtrieb%20mit%20Medikamenten%20ausschalten&text=Zum%20Einsatz%20kommen%20Gestagene%20oder,kommen%20hier%20Neuroleptika%20und%20Antidepressiva.",Sexualtrieb ausschalten: Diese Tipps helfen | FOCUS.de
Was ist körperliche Intimität?,Wie baut man Intimität auf?,"Intimität bezeichnet damit letztlich eine besondere Art des Bewusstseins vom Anderen, in der das ‚Ich' nicht einem fremden ‚Du' gegenübersteht, sondern sich gemeinsam mit dem Anderen in einem ‚Wir' zusammenfasst. Sie findet in verschiedenen Ausmaßen und Formen überall dort statt, wo wir ‚wir' sagen können. 7 Nov 2019","https://www.praefaktisch.de/sex/was-ist-sexuelle-intimitaet/#:~:text=Intimit%C3%A4t%20bezeichnet%20damit%20letztlich%20eine,wir%20%E2%80%9Awir'%20sagen%20k%C3%B6nnen.",Was ist sexuelle Intimität? - Praefaktisch
In welchem Alter hat die Frau sexuell am aktivsten?,Wie man in der Liebe tiefe Intimität schafft?,"Sie fanden heraus, dass die Lust auf Sex im Alter von 27 bis 45 Jahren besonders ausgeprägt ist. Frauen haben in diesen Lebensjahren nicht nur mehr Sex, sondern auch als Frauen im Alter zwischen 18 und 26 Jahren. 25 Nov 2018","https://www.focus.de/gesundheit/ratgeber/sexualitaet/sex-im-alter-in-welchem-alter-frauen-das-staerkste-verlangen-haben_id_9465342.html#:~:text=Sie%20fanden%20heraus%2C%20dass%20die,zwischen%2018%20und%2026%20Jahren.",Sex im Alter: In welchem Alter Frauen das stärkste Verlangen haben
